Year,River.section,Fishery.type,Mesh.size
1981,below_pilot,Commercial,
1982,below_pilot,Commercial,
1983,below_pilot,Commercial,
1984,below_pilot,Commercial,
1985,below_pilot,Commercial,
1986,below_pilot,Commercial,
1987,below_pilot,Commercial,
1988,below_pilot,Commercial,
1989,below_pilot,Commercial,
1990,below_pilot,Commercial,
1991,below_pilot,Commercial,
1992,below_pilot,Commercial,
1993,below_pilot,Commercial,
1994,below_pilot,Commercial,
1995,below_pilot,Commercial,
1996,below_pilot,Commercial,
1997,below_pilot,Commercial,
1998,below_pilot,Commercial,
1999,below_pilot,Commercial,
2000,below_pilot,Commercial,
2001,below_pilot,Commercial,
2002,below_pilot,Commercial,
2003,below_pilot,Commercial,
2004,below_pilot,Commercial,
2005,below_pilot,Commercial,
2006,below_pilot,Commercial,
2007,below_pilot,Commercial,
2008,below_pilot,Commercial,
2009,below_pilot,Commercial,
2010,below_pilot,Commercial,
2011,below_pilot,Commercial,
2012,below_pilot,Commercial,
2013,below_pilot,Commercial,
2014,below_pilot,Commercial,
2015,below_pilot,Commercial,
2016,below_pilot,Commercial,
2017,below_pilot,Commercial,
2018,below_pilot,Commercial,
2019,below_pilot,Commercial,
2020,below_pilot,Commercial,
2021,below_pilot,Commercial,
2022,below_pilot,Commercial,
1981,above_pilot,Commercial,
1982,above_pilot,Commercial,
1983,above_pilot,Commercial,
1984,above_pilot,Commercial,
1985,above_pilot,Commercial,
1986,above_pilot,Commercial,
1987,above_pilot,Commercial,
1988,above_pilot,Commercial,
1989,above_pilot,Commercial,
1990,above_pilot,Commercial,
1991,above_pilot,Commercial,
1992,above_pilot,Commercial,
1993,above_pilot,Commercial,
1994,above_pilot,Commercial,
1995,above_pilot,Commercial,
1996,above_pilot,Commercial,
1997,above_pilot,Commercial,
1998,above_pilot,Commercial,
1999,above_pilot,Commercial,
2000,above_pilot,Commercial,
2001,above_pilot,Commercial,
2002,above_pilot,Commercial,
2003,above_pilot,Commercial,
2004,above_pilot,Commercial,
2005,above_pilot,Commercial,
2006,above_pilot,Commercial,
2007,above_pilot,Commercial,
2008,above_pilot,Commercial,
2009,above_pilot,Commercial,
2010,above_pilot,Commercial,
2011,above_pilot,Commercial,
2012,above_pilot,Commercial,
2013,above_pilot,Commercial,
2014,above_pilot,Commercial,
2015,above_pilot,Commercial,
2016,above_pilot,Commercial,
2017,above_pilot,Commercial,
2018,above_pilot,Commercial,
2019,above_pilot,Commercial,
2020,above_pilot,Commercial,
2021,above_pilot,Commercial,
2022,above_pilot,Commercial,
1981,Canada,Commercial,
1982,Canada,Commercial,
1983,Canada,Commercial,
1984,Canada,Commercial,
1985,Canada,Commercial,
1986,Canada,Commercial,
1987,Canada,Commercial,
1988,Canada,Commercial,
1989,Canada,Commercial,
1990,Canada,Commercial,
1991,Canada,Commercial,
1992,Canada,Commercial,
1993,Canada,Commercial,
1994,Canada,Commercial,
1995,Canada,Commercial,
1996,Canada,Commercial,
1997,Canada,Commercial,
1998,Canada,Commercial,
1999,Canada,Commercial,
2000,Canada,Commercial,
2001,Canada,Commercial,
2002,Canada,Commercial,
2003,Canada,Commercial,
2004,Canada,Commercial,
2005,Canada,Commercial,
2006,Canada,Commercial,
2007,Canada,Commercial,
2008,Canada,Commercial,
2009,Canada,Commercial,
2010,Canada,Commercial,
2011,Canada,Commercial,
2012,Canada,Commercial,
2013,Canada,Commercial,
2014,Canada,Commercial,
2015,Canada,Commercial,
2016,Canada,Commercial,
2017,Canada,Commercial,
2018,Canada,Commercial,
2019,Canada,Commercial,
2020,Canada,Commercial,
2021,Canada,Commercial,
2022,Canada,Commercial,
1981,below_pilot,Subsistence,
1982,below_pilot,Subsistence,
1983,below_pilot,Subsistence,
1984,below_pilot,Subsistence,
1985,below_pilot,Subsistence,
1986,below_pilot,Subsistence,
1987,below_pilot,Subsistence,
1988,below_pilot,Subsistence,
1989,below_pilot,Subsistence,
1990,below_pilot,Subsistence,
1991,below_pilot,Subsistence,
1992,below_pilot,Subsistence,
1993,below_pilot,Subsistence,
1994,below_pilot,Subsistence,
1995,below_pilot,Subsistence,
1996,below_pilot,Subsistence,
1997,below_pilot,Subsistence,
1998,below_pilot,Subsistence,
1999,below_pilot,Subsistence,
2000,below_pilot,Subsistence,
2001,below_pilot,Subsistence,
2002,below_pilot,Subsistence,
2003,below_pilot,Subsistence,
2004,below_pilot,Subsistence,
2005,below_pilot,Subsistence,
2006,below_pilot,Subsistence,
2007,below_pilot,Subsistence,
2008,below_pilot,Subsistence,
2009,below_pilot,Subsistence,
2010,below_pilot,Subsistence,
2011,below_pilot,Subsistence,
2012,below_pilot,Subsistence,
2013,below_pilot,Subsistence,
2014,below_pilot,Subsistence,
2015,below_pilot,Subsistence,
2016,below_pilot,Subsistence,
2017,below_pilot,Subsistence,
2018,below_pilot,Subsistence,
2019,below_pilot,Subsistence,
2020,below_pilot,Subsistence,
2021,below_pilot,Subsistence,
2022,below_pilot,Subsistence,
1981,above_pilot,Subsistence,
1982,above_pilot,Subsistence,
1983,above_pilot,Subsistence,
1984,above_pilot,Subsistence,
1985,above_pilot,Subsistence,
1986,above_pilot,Subsistence,
1987,above_pilot,Subsistence,
1988,above_pilot,Subsistence,
1989,above_pilot,Subsistence,
1990,above_pilot,Subsistence,
1991,above_pilot,Subsistence,
1992,above_pilot,Subsistence,
1993,above_pilot,Subsistence,
1994,above_pilot,Subsistence,
1995,above_pilot,Subsistence,
1996,above_pilot,Subsistence,
1997,above_pilot,Subsistence,
1998,above_pilot,Subsistence,
1999,above_pilot,Subsistence,
2000,above_pilot,Subsistence,
2001,above_pilot,Subsistence,
2002,above_pilot,Subsistence,
2003,above_pilot,Subsistence,
2004,above_pilot,Subsistence,
2005,above_pilot,Subsistence,
2006,above_pilot,Subsistence,
2007,above_pilot,Subsistence,
2008,above_pilot,Subsistence,
2009,above_pilot,Subsistence,
2010,above_pilot,Subsistence,
2011,above_pilot,Subsistence,
2012,above_pilot,Subsistence,
2013,above_pilot,Subsistence,
2014,above_pilot,Subsistence,
2015,above_pilot,Subsistence,
2016,above_pilot,Subsistence,
2017,above_pilot,Subsistence,
2018,above_pilot,Subsistence,
2019,above_pilot,Subsistence,
2020,above_pilot,Subsistence,
2021,above_pilot,Subsistence,
2022,above_pilot,Subsistence,
1981,Canada,Subsistence,
1982,Canada,Subsistence,
1983,Canada,Subsistence,
1984,Canada,Subsistence,
1985,Canada,Subsistence,
1986,Canada,Subsistence,
1987,Canada,Subsistence,
1988,Canada,Subsistence,
1989,Canada,Subsistence,
1990,Canada,Subsistence,
1991,Canada,Subsistence,
1992,Canada,Subsistence,
1993,Canada,Subsistence,
1994,Canada,Subsistence,
1995,Canada,Subsistence,
1996,Canada,Subsistence,
1997,Canada,Subsistence,
1998,Canada,Subsistence,
1999,Canada,Subsistence,
2000,Canada,Subsistence,
2001,Canada,Subsistence,
2002,Canada,Subsistence,
2003,Canada,Subsistence,
2004,Canada,Subsistence,
2005,Canada,Subsistence,
2006,Canada,Subsistence,
2007,Canada,Subsistence,
2008,Canada,Subsistence,
2009,Canada,Subsistence,
2010,Canada,Subsistence,
2011,Canada,Subsistence,
2012,Canada,Subsistence,
2013,Canada,Subsistence,
2014,Canada,Subsistence,
2015,Canada,Subsistence,
2016,Canada,Subsistence,
2017,Canada,Subsistence,
2018,Canada,Subsistence,
2019,Canada,Subsistence,
2020,Canada,Subsistence,
2021,Canada,Subsistence,
2022,Canada,Subsistence,
